year,rank,title,artist,title_clean,artist_clean,primary_artist,spotify_id,spotify_title,spotify_artist,spotify_album,album_type,release_date,release_date_precision,popularity,explicit,duration_ms,disc_number,track_number,isrc,spotify_url,preview_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,audio_features_available
2022,73,"""Better Days""","Neiked, Mae Muller and Polo G",better days,"neiked, mae muller and polo g","neiked, mae muller and polo g",6f5ExP43esnvdKPddwKXJH,Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",Better Days (NEIKED x Mae Muller x Polo G),single,2021-09-24,day,72,False,160656,1,1,GBUM72106057,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH,,,,,,,,,,,,,,False
2022,74,"""Meet Me at Our Spot""",The Anxiety: Willow and Tyler Cole,meet me at our spot,the anxiety: willow and tyler cole,the anxiety: willow and tyler cole,07MDkzWARZaLEdKxo6yArG,Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",THE ANXIETY,album,2020-03-13,day,78,True,162680,1,8,QMJMT2002693,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG,,,,,,,,,,,,,,False
2022,75,"""Fingers Crossed""",Lauren Spencer-Smith,fingers crossed,lauren spencer-smith,lauren spencer-smith,3yMC1KsTwh0ceXdIe4QQAQ,Fingers Crossed,Lauren Spencer Smith,Fingers Crossed,single,2022-01-05,day,61,False,175344,1,1,TCAFY2118876,https://open.spotify.com/track/3yMC1KsTwh0ceXdIe4QQAQ,,,,,,,,,,,,,,False
2022,76,"""All Too Well (Taylor's Version)""",Taylor Swift,all too well (taylor's version),taylor swift,taylor swift,5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,Red (Taylor's Version),album,2021-11-12,day,83,True,613026,1,30,USUG12103690,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi,,,,,,,,,,,,,,False
2022,77,"""Party""",Bad Bunny and Rauw Alejandro,party,bad bunny and rauw alejandro,bad bunny and rauw alejandro,4tYFy8ALRjIZvnvSLw5lxN,Party,"Bad Bunny, Rauw Alejandro",Un Verano Sin Ti,album,2022-05-06,day,84,True,227628,1,11,QM6MZ2214885,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN,,,,,,,,,,,,,,False
2022,78,"""Después de la Playa""",Bad Bunny,después de la playa,bad bunny,bad bunny,1dm6z1fWB0cErMszU25dy2,Después de la Playa,Bad Bunny,Un Verano Sin Ti,album,2022-05-06,day,80,False,230400,1,2,QM6MZ2214876,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2,,,,,,,,,,,,,,False
2022,79,"""You Should Probably Leave""",Chris Stapleton,you should probably leave,chris stapleton,chris stapleton,2UikqkwBv7aIvlixeVXHWt,You Should Probably Leave,Chris Stapleton,Starting Over,album,2020-11-13,day,86,False,213493,1,13,USUM72013814,https://open.spotify.com/track/2UikqkwBv7aIvlixeVXHWt,,,,,,,,,,,,,,False
2022,80,"""Rockin' Around the Christmas Tree""",Brenda Lee,rockin' around the christmas tree,brenda lee,brenda lee,27jhnberlYbjEgL3oFL4BA,Rockin' Around the Christmas Tree - Re-Recorded Version,Brenda Lee,100 Greatest Christmas Songs Ever,compilation,2022-09-30,day,42,False,126146,1,6,USWB19903772,https://open.spotify.com/track/27jhnberlYbjEgL3oFL4BA,,,,,,,,,,,,,,False
2022,81,"""Broadway Girls""",Lil Durk featuring Morgan Wallen,broadway girls,lil durk featuring morgan wallen,lil durk,7qTaDOcld0VmBWXnkbUj45,Broadway Girls (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",7220 (Reloaded),album,2022-03-10,day,77,False,185600,1,18,USQX92105926,https://open.spotify.com/track/7qTaDOcld0VmBWXnkbUj45,,,,,,,,,,,,,,False
2022,82,"""Take My Name""",Parmalee,take my name,parmalee,parmalee,5Pe59NlkY1rYND0I1wqgv6,Take My Name (Wedding Version),Parmalee,Take My Name (Wedding Version),single,2022-05-20,day,42,False,174133,1,1,QMRSZ2201142,https://open.spotify.com/track/5Pe59NlkY1rYND0I1wqgv6,,,,,,,,,,,,,,False
2022,83,"""What Happened to Virgil""",Lil Durk featuring Gunna,what happened to virgil,lil durk featuring gunna,lil durk,7ohROa13QK43JBRqfCmz4P,What Happened To Virgil (feat. Gunna),"Lil Durk, Gunna",7220,album,2022-03-11,day,67,True,181393,1,9,USQX92200954,https://open.spotify.com/track/7ohROa13QK43JBRqfCmz4P,,,,,,,,,,,,,,False
2022,84,"""Puffin on Zootiez""",Future,puffin on zootiez,future,future,1qMMYpVatbRITKCfq1gasi,PUFFIN ON ZOOTIEZ,Future,I NEVER LIKED YOU,album,2022-04-29,day,76,True,172933,1,5,USSM12203787,https://open.spotify.com/track/1qMMYpVatbRITKCfq1gasi,,,,,,,,,,,,,,False
2022,85,"""Like I Love Country Music""",Kane Brown,like i love country music,kane brown,kane brown,5C9jQ8ikTOieveuORd8wlf,Like I Love Country Music,Kane Brown,Different Man,album,2022-09-09,day,60,False,234800,1,3,USRN12200036,https://open.spotify.com/track/5C9jQ8ikTOieveuORd8wlf,,,,,,,,,,,,,,False
2022,86,"""Jingle Bell Rock""",Bobby Helms,jingle bell rock,bobby helms,bobby helms,7BIukSBS6RYQcaFJ3qMsZa,Jingle Bell Rock,Bobby Helms,Classic Christmas Greatest Hits,compilation,2022-10-14,day,1,False,130813,1,9,USMC15746480,https://open.spotify.com/track/7BIukSBS6RYQcaFJ3qMsZa,,,,,,,,,,,,,,False
2022,87,"""Ojitos Lindos""",Bad Bunny and Bomba Estéreo,ojitos lindos,bad bunny and bomba estéreo,bad bunny and bomba estéreo,3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,"Bad Bunny, Bomba Estéreo",Un Verano Sin Ti,album,2022-05-06,day,88,False,258298,1,14,QM6MZ2214888,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW,,,,,,,,,,,,,,False
2022,88,"""Trouble with a Heartbreak""",Jason Aldean,trouble with a heartbreak,jason aldean,jason aldean,0P9c1rdCeGAkCeS425KbI5,Trouble with a Heartbreak,Jason Aldean,GEORGIA,album,2022-04-22,day,60,False,196026,1,2,QMRSZ2102055,https://open.spotify.com/track/0P9c1rdCeGAkCeS425KbI5,,,,,,,,,,,,,,False
2022,89,"""A Holly Jolly Christmas""",Burl Ives,a holly jolly christmas,burl ives,burl ives,6JKZcPLxL20jSaaARbkHRW,A Holly Jolly Christmas,Burl Ives,pov: you hear the bells jingle,compilation,2022-10-07,day,14,False,133839,1,7,USMC16414508,https://open.spotify.com/track/6JKZcPLxL20jSaaARbkHRW,,,,,,,,,,,,,,False
2022,90,"""Kiss Me More""",Doja Cat featuring SZA,kiss me more,doja cat featuring sza,doja cat,00G1HdklEr6QeKNDNh3j0z,Kiss Me More (feat. SZA),"Doja Cat, SZA",TikTok Pop Hits 2022 | 2023,compilation,2022-12-16,day,45,True,208666,1,11,USRC12100543,https://open.spotify.com/track/00G1HdklEr6QeKNDNh3j0z,,,,,,,,,,,,,,False
2022,91,"""She Likes It""",Russell Dickerson featuring Jake Scott,she likes it,russell dickerson featuring jake scott,russell dickerson,4uJDDG8vXJ6fZHtTfrPfMX,She Likes It (feat. Jake Scott),"Russell Dickerson, Jake Scott",Russell Dickerson,album,2022-11-04,day,57,False,163311,1,3,USQX92103652,https://open.spotify.com/track/4uJDDG8vXJ6fZHtTfrPfMX,,,,,,,,,,,,,,False
